Contrato;Conv;Taxa Originação;Taxa Cessão
3002372104;MA;1.9;1.9
3002345399;MT;1.9;1.9
3002385882;MA;1.9;1.9
3002349565;MA;1.9;1.9
3002386229;MT;1.9;1.9
3002387466;MA;1.9;1.9
3002386054;MT;1.9;1.9
3002381808;MA;1.9;1.9
3002351546;MT;1.9;1.9
3002388696;MT;1.9;1.9
3002387474;MA;1.9;1.9
3002385999;MA;1.9;1.9
3002388605;MT;1.9;1.9
3002392854;MT;1.9;1.9
3002375800;MA;1.9;1.9
3002389272;MA;1.9;1.9
3002381410;MA;1.9;1.9
3002391583;MT;1.9;1.9
3002385924;MT;1.9;1.9
3002400574;MA;1.9;1.9
3002392680;MT;1.9;1.9
3002387482;MT;1.9;1.9
3002391831;MT;1.9;1.9
3002392805;MT;1.9;1.9
3002389405;MA;1.9;1.9
3002400442;MA;1.9;1.9
3002391773;MT;1.9;1.9
3002389090;MA;1.9;1.9
3002391567;MT;1.9;1.9
3002387664;MA;1.9;1.9
3002387847;MA;1.9;1.9
3002388597;MA;1.9;1.9
3002392755;MT;1.9;1.9
3002397903;MT;1.9;1.9
3002389025;MT;1.9;1.9
3002310864;MT;1.95;1.95
3002390262;MT;1.95;1.95
3002385171;MT;1.95;1.95
3002389439;MT;1.95;1.95
3002386799;MA;1.95;1.95
3002356255;MT;1.95;1.95
3002326142;MT;1.95;1.95
3002390627;MT;1.95;1.95
3002388209;MT;1.95;1.95
3002391419;MT;1.95;1.95
3002333130;MT;1.95;1.95
3002361230;MT;1.95;1.95
3002386732;MA;1.95;1.95
3002392466;MT;1.95;1.95
3002395816;MA;1.95;1.95
3002396020;MT;1.95;1.95
3002400996;MT;1.95;1.95
3002401002;MA;1.95;1.95
3002401176;MT;1.95;1.95
3002402497;MA;1.95;1.95
3002404352;MT;1.95;1.95
3002404477;MT;1.95;1.95
3002405771;MT;1.95;1.95
3002406514;MT;1.95;1.95
3002407199;MA;1.95;1.95
3002407413;MA;1.95;1.95
3002407496;MA;1.95;1.95
3002408247;MT;1.95;1.95
3002412132;MT;1.95;1.95
3002362832;MA;1.9;1.9
3002387623;MT;1.9;1.9
3002387581;MT;1.9;1.9
3002387912;MA;1.9;1.9
3002398026;MT;1.9;1.9
3002400384;MT;1.9;1.9
3002404410;MA;1.9;1.9
